label,label_noisy
19,19
29,29
0,0
11,11
1,2
86,87
90,90
28,28
23,23
31,31
39,40
96,96
82,82
17,18
71,71
39,39
8,9
97,97
80,81
71,71
74,74
59,59
70,70
87,88
59,60
84,84
64,64
52,53
42,43
64,64
8,9
17,18
47,47
65,65
21,22
22,23
81,81
11,12
24,24
84,85
78,79
45,45
49,49
97,97
56,57
76,76
11,12
90,90
89,89
78,78
73,74
14,15
87,87
9,10
71,71
6,6
47,48
20,21
98,99
47,48
36,37
55,55
72,72
43,43
51,52
35,35
83,84
33,34
27,28
53,53
92,92
50,50
15,15
89,89
36,37
18,18
89,89
46,46
33,34
42,43
39,39
64,64
75,75
38,38
23,24
42,42
66,67
77,78
49,49
18,19
46,47
15,16
35,35
69,69
95,96
83,83
75,75
99,99
73,73
93,93
55,55
39,39
4,4
97,97
61,62
93,93
51,51
69,70
56,56
84,84
59,59
64,64
94,95
4,5
11,12
33,34
68,69
38,39
20,21
33,34
34,35
32,32
46,46
53,53
88,88
67,68
70,71
64,64
53,53
64,65
8,9
96,97
87,88
30,30
20,21
30,30
66,67
19,19
76,76
87,87
52,52
62,62
35,35
63,63
40,41
4,5
99,0
63,63
74,74
53,53
26,26
95,96
48,49
27,28
33,34
29,29
39,39
79,80
32,32
46,46
64,64
28,29
85,85
32,33
82,83
78,79
39,40
54,55
28,29
66,66
65,65
72,73
21,22
64,64
62,63
72,73
0,1
44,44
7,7
12,13
19,19
11,12
31,31
61,62
79,80
45,46
81,82
79,80
98,99
43,43
46,47
67,67
80,80
68,68
74,75
48,49
81,81
94,94
86,86
69,70
39,40
73,74
2,2
46,47
49,49
63,64
43,44
14,14
49,49
68,69
65,65
41,41
37,37
45,45
36,36
21,21
77,78
37,37
39,39
8,8
9,10
62,62
86,86
39,39
19,19
54,54
39,40
28,28
11,11
89,89
90,91
90,90
79,79
66,66
81,81
21,22
79,79
40,40
29,29
22,22
13,13
25,26
11,11
38,38
10,10
96,97
54,54
65,65
39,39
40,41
42,42
48,48
48,48
51,52
11,12
23,24
23,23
89,90
52,52
46,46
2,3
95,95
43,44
86,87
34,34
66,66
18,19
46,47
66,66
56,56
57,58
1,2
44,44
11,12
82,83
23,23
90,90
56,56
19,20
68,68
66,66
28,28
1,1
57,57
67,68
5,6
13,14
78,79
6,6
84,84
7,8
41,41
65,66
80,80
12,12
50,51
63,64
26,27
8,8
53,54
60,60
99,0
97,98
85,85
0,0
78,79
31,31
10,11
2,2
7,7
43,43
83,84
97,98
91,91
82,83
28,28
42,43
0,1
82,83
5,5
68,68
60,61
30,30
98,99
82,83
20,21
64,64
66,66
10,10
75,75
54,54
57,57
87,87
66,66
66,66
73,73
54,54
88,88
42,43
37,37
80,81
87,87
3,3
29,29
43,44
12,13
73,74
96,96
23,24
96,96
84,84
19,19
62,63
0,0
21,21
11,11
36,36
64,64
76,77
60,60
3,3
80,80
82,83
79,80
26,26
65,66
72,72
11,11
15,16
31,32
48,49
12,12
91,92
71,72
87,87
77,78
15,16
7,7
58,58
51,51
55,56
85,86
2,2
3,3
89,90
10,10
3,3
11,11
20,20
4,4
48,49
27,28
48,49
7,7
67,67
3,4
65,66
56,57
9,10
44,44
95,96
46,47
83,84
40,40
58,58
87,87
59,59
18,18
48,49
5,5
88,88
26,26
21,21
24,24
53,53
68,68
49,50
89,89
96,96
92,92
7,7
13,13
99,99
49,50
22,22
56,57
67,67
13,13
97,97
6,6
19,19
76,77
65,65
9,10
71,72
63,64
71,71
18,18
55,55
34,35
18,18
0,1
56,57
23,23
75,75
70,70
78,78
45,45
66,66
91,92
25,25
58,59
90,91
29,30
68,69
35,35
54,54
77,78
97,97
0,0
70,70
75,75
60,61
65,66
5,6
58,58
82,82
49,49
61,62
28,28
44,44
56,57
82,82
61,61
43,43
20,20
38,38
85,85
87,87
49,50
85,85
24,25
7,7
88,88
40,41
38,38
72,73
56,56
4,4
81,81
98,99
97,98
14,15
46,46
23,23
89,90
86,86
83,83
54,55
27,27
41,42
96,97
1,1
81,82
79,80
30,31
17,18
14,15
67,67
20,20
54,55
92,92
33,34
57,57
65,65
49,50
71,71
59,60
85,85
22,22
31,32
85,86
17,18
42,42
62,62
26,27
60,60
27,27
57,57
19,19
97,97
88,88
10,10
31,32
23,24
84,85
74,74
63,63
94,94
77,78
90,90
60,60
5,5
1,1
61,62
95,95
32,32
95,96
57,57
32,32
23,23
39,39
45,46
41,42
69,70
89,89
45,45
47,48
57,57
11,12
48,48
74,75
2,2
11,11
95,95
50,50
37,38
59,59
71,71
84,85
89,89
84,85
70,71
16,17
71,72
8,8
48,49
31,31
98,99
32,32
2,3
74,74
62,63
71,71
90,91
34,34
51,51
0,0
12,13
26,26
57,57
62,62
57,58
31,32
65,66
32,33
16,16
35,35
98,98
11,11
87,87
38,38
52,53
89,90
40,40
76,77
7,7
54,54
76,77
30,30
59,59
84,84
3,4
91,91
46,47
65,65
43,44
49,50
6,6
33,33
5,5
14,14
77,77
44,44
68,68
82,83
94,94
66,67
73,73
56,56
89,90
53,53
22,23
69,70
77,78
84,85
20,20
98,98
4,5
69,69
79,79
40,41
45,45
1,1
56,57
65,66
51,51
5,5
80,80
54,55
92,92
4,5
23,23
60,61
81,81
77,78
73,73
98,99
0,1
14,15
9,10
44,45
27,28
8,8
43,44
74,75
46,47
94,95
86,87
30,30
61,62
57,57
11,11
81,82
25,25
81,81
70,71
29,29
27,27
3,3
71,71
53,54
48,48
19,19
80,81
57,57
19,19
59,59
25,25
56,56
74,75
32,32
98,98
37,38
13,13
45,45
12,12
80,80
64,65
16,16
17,17
24,25
30,30
25,25
96,96
37,37
5,5
98,98
31,31
94,95
5,5
29,29
66,66
51,51
6,6
67,68
50,50
68,69
27,28
62,62
89,89
5,6
11,11
13,14
66,66
55,56
15,15
62,63
74,74
31,31
93,94
59,59
1,2
97,97
32,32
39,39
41,42
62,62
71,71
70,70
98,99
41,42
42,42
70,70
3,3
35,36
90,91
22,22
50,50
61,61
66,66
92,93
53,54
12,12
84,84
33,34
57,58
93,93
79,80
69,69
53,54
9,9
19,19
6,6
20,20
76,76
5,5
98,98
92,92
78,78
93,93
79,79
21,21
51,51
74,75
76,76
56,56
75,75
27,28
22,23
37,38
16,16
72,72
81,82
36,36
48,48
13,13
56,57
70,70
0,1
63,63
90,91
53,54
29,30
64,64
2,2
83,83
63,63
89,89
14,14
66,66
95,95
65,65
85,86
5,5
7,7
58,58
61,62
42,42
59,60
37,37
12,12
42,42
66,67
71,71
40,41
63,63
45,45
19,19
33,34
55,55
26,27
0,1
60,60
72,73
4,4
63,64
76,76
46,46
64,64
96,96
69,70
64,65
75,75
33,34
36,37
26,26
62,63
18,18
48,48
50,51
36,37
26,27
28,28
71,71
76,77
45,45
52,52
65,65
59,59
41,42
69,69
15,15
87,87
50,51
11,12
71,72
36,36
84,84
73,74
46,47
83,83
12,13
79,79
54,55
50,51
75,75
72,72
37,37
91,92
19,19
82,82
22,23
41,42
53,53
14,14
15,15
84,84
11,12
35,35
83,83
36,37
17,17
74,74
26,27
46,46
97,97
85,85
98,99
10,10
63,63
72,73
93,93
45,46
95,95
68,69
