label,label_noisy
19,6
29,29
0,0
11,74
1,18
86,77
90,58
28,57
23,23
31,66
39,94
96,59
82,82
17,33
71,44
39,3
8,8
97,97
80,43
71,6
74,74
59,72
70,70
87,52
59,55
84,84
64,91
52,75
42,38
64,13
8,65
17,19
47,47
65,65
21,42
22,22
81,81
11,30
24,39
84,84
78,0
45,90
49,49
97,71
56,68
76,6
11,12
90,10
89,10
78,34
73,73
14,14
87,87
9,19
71,71
6,6
47,64
20,23
98,76
47,70
36,93
55,30
72,86
43,71
51,26
35,35
83,7
33,58
27,51
53,53
92,9
50,50
15,15
89,89
36,96
18,67
89,11
46,46
33,33
42,42
39,39
64,92
75,75
38,99
23,23
42,42
66,78
77,6
49,49
18,90
46,89
15,15
35,0
69,99
95,98
83,57
75,75
99,5
73,73
93,97
55,46
39,10
4,68
97,89
61,61
93,32
51,51
69,61
56,23
84,84
59,59
64,64
94,94
4,79
11,11
33,33
68,68
38,8
20,75
33,3
34,34
32,32
46,90
53,53
88,86
67,24
70,7
64,8
53,19
64,59
8,0
96,96
87,87
30,30
20,61
30,92
66,16
19,19
76,76
87,23
52,52
62,3
35,18
63,63
40,82
4,4
99,99
63,80
74,82
53,88
26,16
95,95
48,48
27,25
33,12
29,66
39,39
79,79
32,4
46,94
64,64
28,49
85,85
32,30
82,82
78,42
39,39
54,16
28,86
66,57
65,65
72,33
21,21
64,58
62,62
72,72
0,64
44,15
7,72
12,12
19,94
11,11
31,24
61,12
79,79
45,37
81,56
79,79
98,40
43,54
46,78
67,66
80,50
68,68
74,74
48,87
81,81
94,94
86,86
69,74
39,39
73,56
2,97
46,4
49,35
63,63
43,15
14,69
49,49
68,10
65,88
41,41
37,3
45,73
36,36
21,45
77,40
37,37
39,44
8,16
9,38
62,95
86,76
39,39
19,46
54,26
39,93
28,28
11,84
89,89
90,90
90,80
79,52
66,14
81,97
21,45
79,79
40,72
29,90
22,22
13,79
25,25
11,11
38,92
10,10
96,96
54,54
65,65
39,39
40,10
42,71
48,12
48,50
51,51
11,11
23,98
23,79
89,18
52,52
46,70
2,25
95,97
43,43
86,86
34,24
66,39
18,18
46,47
66,53
56,72
57,57
1,1
44,44
11,93
82,28
23,31
90,50
56,5
19,19
68,4
66,66
28,92
1,89
57,49
67,67
5,5
13,13
78,42
6,97
84,84
7,7
41,41
65,65
80,58
12,93
50,66
63,63
26,26
8,8
53,8
60,60
99,54
97,97
85,21
0,0
78,82
31,54
10,64
2,82
7,80
43,45
83,83
97,97
91,46
82,55
28,38
42,62
0,0
82,82
5,8
68,68
60,32
30,30
98,33
82,82
20,91
64,71
66,66
10,10
75,75
54,54
57,57
87,87
66,66
66,32
73,41
54,54
88,88
42,42
37,25
80,81
87,1
3,82
29,80
43,43
12,32
73,73
96,96
23,56
96,89
84,89
19,2
62,15
0,0
21,60
11,32
36,36
64,26
76,76
60,60
3,3
80,80
82,82
79,86
26,12
65,93
72,88
11,11
15,34
31,49
48,88
12,12
91,91
71,33
87,57
77,69
15,79
7,39
58,24
51,11
